web_scraper_order,web_scraper_start_url,hotel_name_raw,price_raw,address_raw,rating_raw,num_reviews_raw,stars_raw,distance_raw,description_raw
"1762769008-59","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Altstadt Hotel","CHF 428","Stadtzentrum, Zürich","8,4","1.851 Bewertungen","","Zentrum: 300 m","Classic Cosy"
"1762769008-60","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Acasa Suites Zurich Oerlikon","CHF 426","Seebach, Zürich","8,9","1.912 Bewertungen","","Zentrum: 4,7 km","Classic Zimmer mit Kingsize-Bett oder 2 Einzelbetten"
"1762769008-61","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","The Dolder Grand - City and Spa Resort Zurich","CHF 1.540","Zürichberg, Zürich","9,0","615 Bewertungen","","Zentrum: 2,3 km","Superior Doppelzimmer"
"1762769008-62","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Hotel Marta","CHF 373","Stadtzentrum, Zürich","8,3","4.274 Bewertungen","","Zentrum: 500 m","Kleines Doppelzimmer"
"1762769008-63","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Hotel Bristol Zurich","CHF 385","Unterstrass, Zürich","8,2","4.883 Bewertungen","","Zentrum: 0,9 km","Kleines Budget Doppelzimmer"
"1762769008-64","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Hotel UTO KULM car-free hideaway in Zurich","CHF 348","Uetliberg, Zürich","8,1","1.718 Bewertungen","","Zentrum: 4,6 km","Standard Doppelzimmer"
"1762769008-65","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Greulich Design & Boutique Hotel","CHF 354","Aussersihl, Zürich","8,4","402 Bewertungen","","Zentrum: 1,8 km","Kleines Design Zimmer"
"1762769008-66","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Hotel Neufeld","CHF 344","Wiedikon, Zürich","8,1","3.746 Bewertungen","","Zentrum: 2,2 km","Doppel- oder Zweibettzimmer"
"1762769008-67","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","VISIONAPARTMENTS Waffenplatzstrasse - contactless check-in","CHF 183","Enge, Zürich","7,5","1.171 Bewertungen","","Zentrum: 2 km","Mini Studio Apartment"
"1762769008-68","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Boutique & Art Hotel Helvetia","CHF 451","Aussersihl, Zürich","8,5","1.167 Bewertungen","","Zentrum: 0,8 km","Kleines Doppelzimmer"
